Term,Class,Title,Description,Status,Days,Time,Seats
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday Friday,11:00AM to 11:50AM,Open Seats 1 of 27
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday Friday,10:00AM to 10:50AM,Open Seats 1 of 24
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday Friday,10:00AM to 10:50AM,Open Seats 9 of 27
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 12 of 27
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday Friday,12:00PM to 12:50PM,Open Seats 4 of 27
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday,2:30PM to 3:45PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday Friday,9:00AM to 9:50AM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday,1:00PM to 2:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday,1:00PM to 2:15PM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 231,Computer Science II,"Prerequisite, CPSC 230, or equivalent. This course is a comprehensive study of object-oriented computing with a mainstream programming language, Java. The course introduces the principal features of the language with a focus on object-oriented development, code reuse, and large program structure. The course also covers advance topics such as concurrency and graphical user interfaces. (Offered every semester.) 3 credits.",Open,Tuesday Thursday,4:00PM to 5:15PM,Open Seats 1 of 24
Fall 2024,CPSC 231,Computer Science II,"Prerequisite, CPSC 230, or equivalent. This course is a comprehensive study of object-oriented computing with a mainstream programming language, Java. The course introduces the principal features of the language with a focus on object-oriented development, code reuse, and large program structure. The course also covers advance topics such as concurrency and graphical user interfaces. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,11:30AM to 12:45PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 236,Object-Oriented Programming in C#,"Prerequisite, GAME 230 or CPSC 231. Students learn object-oriented programming using the C# programming language. Students are also introduced to Unity, a C# technology and the most widely-used game development platform, creating a series of games throughout the course. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,2:30PM to 3:45PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 236,Object-Oriented Programming in C#,"Prerequisite, GAME 230 or CPSC 231. Students learn object-oriented programming using the C# programming language. Students are also introduced to Unity, a C# technology and the most widely-used game development platform, creating a series of games throughout the course. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,4:00PM to 5:15PM,Waitlist Available Places 100 of 100
Fall 2024,CPSC 285,Social and Ethical Issues in Computing,"This course considers a range of ethical and social issues related to the effects of computers on how we live, focusing on broad social issues as well as individual responsibilities. Privacy and intellectual property (e.g. P2P downloading), software licenses, software reliability, and risks. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday Friday,9:00AM to 9:50AM,Waitlist Available Places 98 of 100
Fall 2024,CPSC 285,Social and Ethical Issues in Computing,"This course considers a range of ethical and social issues related to the effects of computers on how we live, focusing on broad social issues as well as individual responsibilities. Privacy and intellectual property (e.g. P2P downloading), software licenses, software reliability, and risks. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday Friday,10:00AM to 10:50AM,Waitlist Available Places 94 of 100
