Term,Class,Title,Description,Status,Days,Time,Seats
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 2 of 15
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Tuesday Thursday,1:00PM to 2:15PM,Open Seats 4 of 15
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday Friday,11:00AM to 11:50AM,Open Seats 2 of 15
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday,1:00PM to 2:15PM,Waitlist Available Places 94 of 100
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday Friday,8:00AM to 8:50AM,Waitlist Available Places 96 of 100
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday Friday,12:00PM to 12:50PM,Waitlist Available Places 97 of 100
Spring 2025,CPSC 230,Computer Science I,"Prerequisite, MATH 100. Students are introduced to problem-solving methods and algorithm development through an interactive and easy-to-learn programming language, Python. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday Friday,9:00AM to 9:50AM,Waitlist Available Places 100 of 100
Spring 2025,CPSC 231,Computer Science II,"Prerequisite, CPSC 230, or equivalent. This course is a comprehensive study of object-oriented computing with a mainstream programming language, Java. The course introduces the principal features of the language with a focus on object-oriented development, code reuse, and large program structure. The course also covers advance topics such as concurrency and graphical user interfaces. (Offered every semester.) 3 credits.",Open,Monday Wednesday,5:30PM to 6:45PM,Open Seats 1 of 26
Spring 2025,CPSC 231,Computer Science II,"Prerequisite, CPSC 230, or equivalent. This course is a comprehensive study of object-oriented computing with a mainstream programming language, Java. The course introduces the principal features of the language with a focus on object-oriented development, code reuse, and large program structure. The course also covers advance topics such as concurrency and graphical user interfaces. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 97 of 100
Spring 2025,CPSC 231,Computer Science II,"Prerequisite, CPSC 230, or equivalent. This course is a comprehensive study of object-oriented computing with a mainstream programming language, Java. The course introduces the principal features of the language with a focus on object-oriented development, code reuse, and large program structure. The course also covers advance topics such as concurrency and graphical user interfaces. (Offered every semester.) 3 credits.",Wait List,Tuesday Thursday,5:30PM to 6:45PM,Waitlist Available Places 98 of 100
